-4;-4
-4;-3
-4;-2
-4;-1
-4;0
-4;1
-3;-4
-3;-3
-3;-2
-3;-1
-3;0
-3;1
4;4
4;3
4;2
4;1
4;0
4;-1
3;4
3;3
3;2
3;1
3;0
3;-1
-1;-4
0;-4
1;-4
2;-4
3;-4
4;-4
-1;-3
0;-3
1;-3
2;-3
3;-3
4;-3
-4;4
-3;4
-2;4
-1;4
0;4
1;4
-4;3
-3;3
-2;3
-1;3
0;3
1;3
21;-4
21;-3
21;-2
21;-1
21;0
21;1
22;-4
22;-3
22;-2
22;-1
22;0
22;1
29;4
29;3
29;2
29;1
29;0
29;-1
28;4
28;3
28;2
28;1
28;0
28;-1
24;-4
25;-4
26;-4
27;-4
28;-4
29;-4
24;-3
25;-3
26;-3
27;-3
28;-3
29;-3
21;4
22;4
23;4
24;4
25;4
26;4
21;3
22;3
23;3
24;3
25;3
26;3
46;-4
46;-3
46;-2
46;-1
46;0
46;1
47;-4
47;-3
47;-2
47;-1
47;0
47;1
54;4
54;3
54;2
54;1
54;0
54;-1
53;4
53;3
53;2
53;1
53;0
53;-1
49;-4
50;-4
51;-4
52;-4
53;-4
54;-4
49;-3
50;-3
51;-3
52;-3
53;-3
54;-3
46;4
47;4
48;4
49;4
50;4
51;4
46;3
47;3
48;3
49;3
50;3
51;3
-4;21
-4;22
-4;23
-4;24
-4;25
-4;26
-3;21
-3;22
-3;23
-3;24
-3;25
-3;26
4;29
4;28
4;27
4;26
4;25
4;24
3;29
3;28
3;27
3;26
3;25
3;24
-1;21
0;21
1;21
2;21
3;21
4;21
-1;22
0;22
1;22
2;22
3;22
4;22
-4;29
-3;29
-2;29
-1;29
0;29
1;29
-4;28
-3;28
-2;28
-1;28
0;28
1;28
21;21
21;22
21;23
21;24
21;25
21;26
22;21
22;22
22;23
22;24
22;25
22;26
29;29
29;28
29;27
29;26
29;25
29;24
28;29
28;28
28;27
28;26
28;25
28;24
24;21
25;21
26;21
27;21
28;21
29;21
24;22
25;22
26;22
27;22
28;22
29;22
21;29
22;29
23;29
24;29
25;29
26;29
21;28
22;28
23;28
24;28
25;28
26;28
46;21
46;22
46;23
46;24
46;25
46;26
47;21
47;22
47;23
47;24
47;25
47;26
54;29
54;28
54;27
54;26
54;25
54;24
53;29
53;28
53;27
53;26
53;25
53;24
49;21
50;21
51;21
52;21
53;21
54;21
49;22
50;22
51;22
52;22
53;22
54;22
46;29
47;29
48;29
49;29
50;29
51;29
46;28
47;28
48;28
49;28
50;28
51;28
-4;46
-4;47
-4;48
-4;49
-4;50
-4;51
-3;46
-3;47
-3;48
-3;49
-3;50
-3;51
4;54
4;53
4;52
4;51
4;50
4;49
3;54
3;53
3;52
3;51
3;50
3;49
-1;46
0;46
1;46
2;46
3;46
4;46
-1;47
0;47
1;47
2;47
3;47
4;47
-4;54
-3;54
-2;54
-1;54
0;54
1;54
-4;53
-3;53
-2;53
-1;53
0;53
1;53
21;46
21;47
21;48
21;49
21;50
21;51
22;46
22;47
22;48
22;49
22;50
22;51
29;54
29;53
29;52
29;51
29;50
29;49
28;54
28;53
28;52
28;51
28;50
28;49
24;46
25;46
26;46
27;46
28;46
29;46
24;47
25;47
26;47
27;47
28;47
29;47
21;54
22;54
23;54
24;54
25;54
26;54
21;53
22;53
23;53
24;53
25;53
26;53
46;46
46;47
46;48
46;49
46;50
46;51
47;46
47;47
47;48
47;49
47;50
47;51
54;54
54;53
54;52
54;51
54;50
54;49
53;54
53;53
53;52
53;51
53;50
53;49
49;46
50;46
51;46
52;46
53;46
54;46
49;47
50;47
51;47
52;47
53;47
54;47
46;54
47;54
48;54
49;54
50;54
51;54
46;53
47;53
48;53
49;53
50;53
51;53
